,country,device_type,traffic_source,payment_method,product_category,customer_age_days,previous_orders,avg_order_value_eur,order_value_eur,quantity,discount_rate,shipping_distance_km,delivery_days_estimated,late_delivery_risk,address_mismatch,high_risk_ip,review_score
61,Poland,Mobile,Organic Search,Debit Card,Garden,160,1,65.7,94.12,1,0.4,498.6,5,0,0,0,3.7
62,Spain,Desktop,Marketplace,Klarna,Home & Kitchen,1026,3,26.9,19.88,1,0.24,484.7,4,0,0,0,4.2
63,Belgium,Desktop,Direct,Credit Card,Fashion,259,2,26.02,51.83,1,0.06,620.7,6,0,0,0,4.9
64,Netherlands,Desktop,Direct,Credit Card,Electronics,461,5,48.78,125.0,1,0.05,594.5,3,0,0,0,4.9
65,Spain,Desktop,Organic Search,Debit Card,Toys,613,7,25.24,10.2,1,0.27,247.0,4,0,0,0,4.6
66,Italy,Desktop,Paid Ads,Debit Card,Beauty,759,2,19.1,11.96,2,0.13,307.5,4,0,0,0,4.4
67,Germany,Desktop,Organic Search,PayPal,Pet Supplies,233,1,29.94,80.4,1,0.08,1433.2,5,0,1,0,4.5
68,Germany,Mobile,Direct,Credit Card,Fashion,104,1,13.49,11.61,2,0.06,55.8,3,0,0,0,5.0
69,Germany,Mobile,Organic Search,PayPal,Home & Kitchen,972,2,57.04,117.56,4,0.27,368.6,3,0,0,0,4.5
70,Germany,Mobile,Organic Search,Debit Card,Garden,608,1,72.73,103.17,1,0.09,507.1,3,0,0,0,4.4
71,Germany,Mobile,Organic Search,PayPal,Pet Supplies,267,0,98.4,92.44,4,0.31,217.3,4,0,0,0,3.2
72,Poland,Mobile,Social Media,Credit Card,Toys,194,3,29.65,13.39,3,0.06,816.9,4,0,0,0,4.3
73,Spain,Mobile,Organic Search,Debit Card,Garden,818,2,73.42,57.07,2,0.15,418.3,4,0,0,0,2.6
74,Belgium,Desktop,Email,Debit Card,Beauty,450,0,25.15,22.8,2,0.28,370.4,5,0,0,0,5.0
75,France,Mobile,Social Media,Gift Card,Electronics,486,3,20.98,67.27,2,0.09,928.2,5,0,0,0,3.2
76,Germany,Mobile,Email,Credit Card,Pet Supplies,480,3,153.03,79.52,1,0.27,407.8,5,0,0,0,4.9
77,Netherlands,Desktop,Paid Ads,Debit Card,Sports,65,1,41.11,92.78,1,0.08,156.5,4,0,0,0,4.5
78,Netherlands,Mobile,Organic Search,Debit Card,Garden,62,0,24.71,78.97,1,0.15,409.7,3,0,0,0,5.0
79,Belgium,Desktop,Social Media,PayPal,Garden,840,4,103.37,89.58,2,0.05,394.2,3,0,0,0,5.0
80,Turkey,Desktop,Social Media,Debit Card,Electronics,76,1,36.45,97.5,2,0.29,933.5,6,1,0,0,4.4
81,France,Mobile,Organic Search,Klarna,Electronics,211,2,20.07,41.7,1,0.53,273.6,3,0,0,0,2.4
82,Netherlands,Mobile,Paid Ads,PayPal,Pet Supplies,123,2,86.64,59.61,2,0.5,814.7,4,0,0,0,3.8
83,Netherlands,Desktop,Direct,Bank Transfer,Fashion,116,0,23.98,49.11,3,0.33,128.8,4,0,0,0,2.8
84,Germany,Mobile,Marketplace,Gift Card,Garden,105,0,28.65,27.84,2,0.19,48.6,2,0,0,0,4.5
85,Italy,Mobile,Marketplace,Credit Card,Pet Supplies,569,5,21.71,19.67,1,0.01,349.0,3,0,0,0,3.9
86,Belgium,Mobile,Organic Search,Klarna,Home & Kitchen,422,2,61.92,118.69,2,0.15,474.5,2,0,0,0,4.3
87,France,Mobile,Paid Ads,Klarna,Home & Kitchen,144,1,82.83,88.28,1,0.05,553.8,6,0,0,0,4.3
88,Germany,Mobile,Paid Ads,Debit Card,Garden,267,0,33.31,35.53,6,0.02,297.6,5,0,0,0,5.0
89,Netherlands,Mobile,Social Media,Bank Transfer,Garden,49,0,74.52,62.09,2,0.05,164.4,4,0,0,0,4.5
90,Netherlands,Mobile,Organic Search,Debit Card,Home & Kitchen,972,6,30.11,31.09,4,0.24,215.8,4,0,0,0,4.1
91,Turkey,Mobile,Paid Ads,Credit Card,Toys,274,0,55.36,71.78,1,0.19,353.1,4,0,0,0,4.7
92,Netherlands,Mobile,Paid Ads,Debit Card,Toys,221,2,77.2,92.76,1,0.36,395.4,4,0,0,0,2.8
93,Turkey,Desktop,Marketplace,Klarna,Electronics,385,1,32.2,110.78,1,0.22,333.0,5,0,0,0,4.2
94,Poland,Mobile,Marketplace,Klarna,Pet Supplies,423,5,76.57,40.2,1,0.01,1290.2,6,1,0,0,2.7
95,Italy,Mobile,Social Media,Credit Card,Home & Kitchen,24,0,37.56,13.94,1,0.21,1563.0,5,0,1,0,4.6
96,Netherlands,Desktop,Organic Search,Bank Transfer,Sports,320,2,117.59,262.95,1,0.04,182.8,3,0,0,0,4.4
97,Netherlands,Desktop,Direct,Credit Card,Sports,230,3,38.43,67.11,1,0.04,464.8,4,0,0,0,4.7
98,Germany,Mobile,Organic Search,Klarna,Garden,323,2,80.68,168.49,1,0.13,89.0,3,0,0,0,4.6
99,Turkey,Mobile,Paid Ads,PayPal,Home & Kitchen,132,1,50.73,82.65,3,0.17,238.8,4,0,0,0,4.8
100,Poland,Mobile,Social Media,Klarna,Home & Kitchen,199,2,34.15,33.69,2,0.18,430.7,3,0,0,0,3.9
101,Italy,Desktop,Email,Bank Transfer,Home & Kitchen,428,1,46.45,41.06,2,0.35,1545.3,6,1,0,0,3.1
102,Netherlands,Mobile,Social Media,Credit Card,Sports,502,3,170.01,200.11,1,0.07,334.3,4,0,0,0,4.3
103,Netherlands,Mobile,Paid Ads,Credit Card,Pet Supplies,372,4,45.49,36.85,4,0.23,1131.4,3,0,0,0,4.5
104,Turkey,Mobile,Direct,Credit Card,Garden,768,1,37.93,35.88,3,0.09,122.3,3,0,0,0,5.0
105,France,Desktop,Organic Search,Bank Transfer,Sports,663,4,40.57,34.72,1,0.07,995.1,6,1,0,0,4.1
106,France,Desktop,Direct,Debit Card,Toys,529,4,58.68,51.7,5,0.37,293.2,4,0,0,0,5.0
107,France,Mobile,Organic Search,Debit Card,Sports,241,3,33.33,64.87,2,0.03,672.4,4,0,0,0,4.8
108,France,Mobile,Marketplace,Credit Card,Toys,299,1,46.6,66.39,3,0.09,1146.9,5,0,0,0,4.4
109,Netherlands,Desktop,Email,Credit Card,Home & Kitchen,307,1,28.59,38.83,1,0.09,156.1,4,0,0,0,4.8
110,Netherlands,Desktop,Organic Search,Klarna,Electronics,496,6,61.34,148.76,1,0.25,267.9,3,0,0,0,5.0
112,Netherlands,Desktop,Marketplace,Bank Transfer,Pet Supplies,631,5,15.29,9.15,1,0.12,297.7,5,0,0,0,4.3
113,Netherlands,Desktop,Organic Search,Klarna,Garden,30,1,31.69,33.64,1,0.15,168.0,4,0,0,0,4.7
114,Germany,Mobile,Direct,Gift Card,Home & Kitchen,299,0,42.9,26.16,2,0.16,1243.1,5,0,0,0,4.7
115,France,Tablet,Social Media,Credit Card,Home & Kitchen,101,0,25.08,41.37,1,0.11,974.5,5,0,1,0,4.5
116,Netherlands,Desktop,Paid Ads,Debit Card,Sports,46,0,20.6,21.78,3,0.2,611.3,6,0,0,0,4.7
117,Spain,Mobile,Paid Ads,Credit Card,Pet Supplies,595,0,41.62,46.91,2,0.16,634.5,3,0,0,0,4.2
118,Germany,Desktop,Paid Ads,PayPal,Home & Kitchen,389,1,14.98,59.66,2,0.11,470.1,2,0,0,1,5.0
119,Poland,Mobile,Marketplace,Debit Card,Fashion,101,0,53.0,28.74,2,0.13,370.0,2,0,0,0,3.3
120,France,Mobile,Social Media,Gift Card,Home & Kitchen,113,1,34.09,44.12,2,0.09,210.3,3,0,0,1,4.0
121,Netherlands,Mobile,Paid Ads,Credit Card,Beauty,315,2,63.62,56.14,3,0.09,715.9,7,0,0,0,4.5
122,Netherlands,Mobile,Marketplace,Debit Card,Fashion,429,6,56.53,48.49,2,0.35,1302.6,7,1,0,0,4.1
123,Poland,Mobile,Social Media,Credit Card,Home & Kitchen,559,4,42.4,90.17,1,0.42,791.3,4,0,0,0,4.6
124,Spain,Mobile,Direct,Gift Card,Toys,45,0,72.37,46.54,3,0.1,354.9,3,0,0,0,4.1
125,Italy,Desktop,Email,Debit Card,Pet Supplies,232,1,15.12,7.7,1,0.07,323.4,3,0,1,0,3.9
126,Belgium,Mobile,Organic Search,Bank Transfer,Garden,386,4,75.6,50.01,2,0.16,266.9,3,0,0,0,5.0
127,France,Tablet,Email,Credit Card,Garden,137,0,61.9,51.16,1,0.07,366.2,3,0,0,0,4.6
129,Netherlands,Desktop,Organic Search,Credit Card,Fashion,239,1,51.7,22.82,1,0.2,447.3,4,0,0,0,3.4
130,France,Mobile,Social Media,PayPal,Home & Kitchen,139,1,45.81,42.65,8,0.19,191.7,2,0,0,0,5.0
131,Netherlands,Mobile,Marketplace,PayPal,Toys,268,3,99.9,80.66,1,0.39,198.0,4,0,0,0,4.2
132,Belgium,Desktop,Paid Ads,PayPal,Sports,38,0,23.95,35.42,1,0.07,811.0,5,0,0,0,5.0
133,Belgium,Mobile,Social Media,Credit Card,Home & Kitchen,130,0,13.85,31.56,2,0.12,348.1,3,0,0,1,3.7
134,France,Mobile,Marketplace,Credit Card,Pet Supplies,225,0,21.42,21.1,2,0.03,260.0,4,0,0,0,3.8
135,Netherlands,Desktop,Marketplace,Credit Card,Home & Kitchen,148,0,50.96,88.59,1,0.03,104.3,3,0,1,0,5.0
136,France,Desktop,Organic Search,Gift Card,Home & Kitchen,503,2,63.87,160.26,1,0.09,1194.9,5,0,0,0,4.0
137,Germany,Mobile,Paid Ads,PayPal,Pet Supplies,1036,3,41.95,52.75,2,0.04,471.4,3,0,0,0,5.0
138,Germany,Mobile,Email,Credit Card,Pet Supplies,325,2,40.85,34.0,1,0.09,1184.4,5,0,0,0,4.7
139,Netherlands,Desktop,Direct,PayPal,Pet Supplies,362,1,104.15,80.71,2,0.26,1464.6,5,0,0,0,4.2
140,Germany,Mobile,Marketplace,Debit Card,Toys,392,5,64.97,43.91,2,0.03,482.9,4,0,0,0,4.7
141,Turkey,Mobile,Social Media,Debit Card,Fashion,342,1,45.71,35.29,3,0.07,927.4,7,1,0,0,3.4
142,Netherlands,Mobile,Email,Credit Card,Electronics,185,0,44.65,33.9,3,0.17,365.0,5,0,0,0,4.7
143,Poland,Mobile,Organic Search,Credit Card,Sports,88,2,39.88,46.08,3,0.2,376.3,3,0,0,0,4.4
144,Netherlands,Mobile,Organic Search,Debit Card,Home & Kitchen,338,1,22.89,24.42,7,0.07,439.1,5,0,0,0,5.0
145,Germany,Desktop,Marketplace,Bank Transfer,Sports,212,0,64.54,152.27,2,0.13,696.2,4,0,0,0,4.1
146,Turkey,Mobile,Social Media,Credit Card,Electronics,132,0,84.23,61.11,1,0.04,71.8,3,0,0,0,5.0
148,Belgium,Mobile,Organic Search,Credit Card,Beauty,138,0,54.62,20.92,1,0.25,439.5,4,0,0,0,4.3
149,Turkey,Desktop,Marketplace,Credit Card,Toys,170,1,32.82,19.53,1,0.02,969.4,5,0,0,0,3.5
150,Netherlands,Desktop,Organic Search,Debit Card,Fashion,247,1,53.87,39.21,3,0.09,386.4,6,0,0,0,5.0
151,Italy,Mobile,Paid Ads,Klarna,Electronics,50,0,19.43,68.45,4,0.14,402.6,3,0,0,0,4.7
153,Spain,Mobile,Marketplace,PayPal,Electronics,140,0,21.16,39.51,4,0.16,508.0,3,0,0,0,3.4
154,Spain,Mobile,Social Media,Credit Card,Electronics,326,2,33.76,87.65,1,0.23,491.6,3,0,0,0,4.0
155,Spain,Mobile,Organic Search,Credit Card,Beauty,661,6,77.76,65.0,1,0.07,116.7,4,0,0,0,4.7
156,Netherlands,Mobile,Social Media,Debit Card,Garden,679,7,58.14,41.48,1,0.23,516.3,5,0,0,0,5.0
157,Netherlands,Mobile,Organic Search,Credit Card,Home & Kitchen,217,1,84.28,127.47,2,0.03,398.5,4,0,0,0,3.0
158,Belgium,Mobile,Social Media,Debit Card,Fashion,271,1,46.08,24.52,2,0.17,493.8,4,0,0,0,3.9
159,Poland,Mobile,Social Media,Credit Card,Sports,187,0,20.32,51.46,1,0.15,302.4,3,0,0,0,3.2
160,Belgium,Mobile,Social Media,Credit Card,Sports,219,1,59.48,37.9,1,0.05,431.6,4,0,0,0,3.9
161,Poland,Desktop,Direct,Gift Card,Home & Kitchen,561,3,35.85,42.03,1,0.03,749.2,5,0,0,0,4.5
162,Italy,Mobile,Paid Ads,PayPal,Toys,108,2,22.1,18.7,1,0.26,1115.2,6,1,0,0,4.5
163,Poland,Desktop,Marketplace,Debit Card,Electronics,520,1,75.49,231.83,4,0.26,585.7,4,0,0,0,3.9
164,Italy,Tablet,Email,Credit Card,Garden,506,4,68.8,35.23,1,0.27,136.5,5,0,0,0,5.0
165,France,Tablet,Social Media,Klarna,Beauty,89,0,32.21,10.76,1,0.08,1131.0,5,0,0,0,4.3
166,Belgium,Desktop,Social Media,Credit Card,Sports,259,0,53.25,34.9,1,0.18,190.1,3,0,0,0,5.0
167,Germany,Desktop,Organic Search,Credit Card,Home & Kitchen,249,1,23.41,20.59,4,0.27,200.0,4,0,1,0,5.0
168,Germany,Desktop,Organic Search,Debit Card,Garden,66,0,64.22,128.99,1,0.03,180.2,3,0,0,0,4.1
169,Germany,Mobile,Direct,Gift Card,Pet Supplies,368,2,55.45,28.52,1,0.13,540.8,2,0,0,0,4.7
170,Spain,Mobile,Organic Search,Debit Card,Home & Kitchen,122,0,62.49,95.05,1,0.16,458.0,5,0,0,0,4.9
171,Germany,Desktop,Social Media,Debit Card,Garden,654,2,119.4,122.52,2,0.06,298.6,4,0,0,1,4.7
172,Germany,Mobile,Organic Search,Debit Card,Electronics,407,0,26.0,27.06,1,0.22,589.5,4,0,0,0,3.7
174,France,Mobile,Organic Search,Bank Transfer,Home & Kitchen,688,6,51.33,18.99,2,0.04,285.1,4,0,0,0,4.6
175,Netherlands,Mobile,Paid Ads,Bank Transfer,Electronics,284,4,24.34,50.11,1,0.17,213.6,3,0,0,0,4.8
176,France,Mobile,Paid Ads,Klarna,Pet Supplies,1105,9,32.94,22.79,4,0.04,376.6,4,0,0,0,5.0
177,Belgium,Desktop,Direct,Credit Card,Pet Supplies,668,6,27.19,25.96,1,0.08,279.1,3,0,0,0,4.4
178,Spain,Mobile,Organic Search,PayPal,Home & Kitchen,884,7,70.87,154.66,1,0.23,984.1,4,0,0,0,4.3
179,Germany,Desktop,Organic Search,PayPal,Fashion,555,4,45.88,46.51,3,0.09,232.7,2,0,0,0,4.4
180,Netherlands,Desktop,Social Media,Credit Card,Pet Supplies,439,0,64.57,42.18,1,0.0,861.5,6,0,0,0,4.1
181,Germany,Desktop,Organic Search,Klarna,Beauty,710,2,34.91,24.73,1,0.09,837.1,6,0,0,0,5.0
182,Spain,Tablet,Paid Ads,PayPal,Toys,74,0,45.75,28.67,1,0.22,327.6,4,0,0,0,5.0
183,Belgium,Desktop,Marketplace,Credit Card,Toys,341,2,41.67,35.07,1,0.08,814.4,5,0,0,0,4.4
184,Spain,Desktop,Email,Debit Card,Home & Kitchen,114,3,73.69,145.74,1,0.19,434.2,3,0,0,0,4.0
185,Netherlands,Mobile,Organic Search,Klarna,Electronics,110,3,39.93,72.93,8,0.18,151.2,2,0,0,0,3.7
186,France,Desktop,Organic Search,Klarna,Home & Kitchen,330,1,46.26,111.95,1,0.16,908.3,4,0,0,0,5.0
187,Netherlands,Mobile,Social Media,Credit Card,Fashion,113,0,45.62,21.0,1,0.05,227.6,4,0,0,0,5.0
188,Italy,Desktop,Paid Ads,PayPal,Electronics,48,0,34.99,64.67,1,0.3,357.1,3,0,0,0,4.8
189,France,Mobile,Organic Search,Klarna,Toys,263,1,50.45,37.13,1,0.06,421.4,4,0,0,0,5.0
190,Belgium,Mobile,Paid Ads,Credit Card,Garden,123,0,25.05,16.59,2,0.03,324.8,5,0,0,0,4.6
191,Spain,Mobile,Organic Search,Credit Card,Toys,422,0,105.53,71.75,1,0.22,225.4,3,0,0,0,3.8
192,Italy,Mobile,Paid Ads,Klarna,Beauty,88,0,176.54,66.61,1,0.03,1512.8,6,1,1,0,3.8
193,Belgium,Mobile,Organic Search,Credit Card,Pet Supplies,406,6,31.46,36.0,2,0.24,360.7,3,0,0,0,4.6
194,Italy,Mobile,Organic Search,PayPal,Sports,162,2,46.83,65.45,1,0.22,268.9,4,0,0,0,4.4
195,Netherlands,Mobile,Direct,Debit Card,Fashion,470,1,33.6,19.9,1,0.61,373.3,3,0,0,0,3.9
196,France,Tablet,Social Media,Credit Card,Fashion,550,6,59.0,65.8,5,0.15,375.4,3,0,0,0,4.5
197,Netherlands,Mobile,Paid Ads,Klarna,Electronics,302,0,65.89,129.57,2,0.36,1073.4,5,0,0,0,4.6
198,Turkey,Mobile,Social Media,Credit Card,Home & Kitchen,93,0,23.32,19.51,4,0.02,458.4,5,0,0,0,5.0
199,France,Tablet,Organic Search,Debit Card,Pet Supplies,133,0,12.38,8.02,2,0.13,652.1,4,0,1,0,4.8
200,Belgium,Mobile,Organic Search,Debit Card,Beauty,485,2,73.15,44.4,1,0.19,590.1,6,0,0,0,4.7
201,France,Mobile,Organic Search,Debit Card,Home & Kitchen,366,3,38.57,49.68,1,0.14,597.9,5,0,0,0,4.1
202,Italy,Mobile,Paid Ads,Credit Card,Pet Supplies,161,0,21.49,22.71,2,0.1,1260.6,6,1,0,0,3.7
203,Germany,Tablet,Paid Ads,Debit Card,Home & Kitchen,456,3,15.74,34.36,5,0.06,185.5,2,0,0,0,4.5
204,Germany,Desktop,Paid Ads,Klarna,Fashion,849,9,39.21,25.75,1,0.12,83.9,3,0,0,0,3.8
205,Belgium,Mobile,Direct,Credit Card,Fashion,582,1,40.85,52.95,1,0.13,99.3,4,0,0,0,4.5
206,Germany,Mobile,Direct,PayPal,Home & Kitchen,333,3,90.48,154.71,6,0.07,267.4,3,0,0,0,4.5
207,Turkey,Desktop,Paid Ads,PayPal,Electronics,173,0,65.18,118.05,3,0.24,483.1,3,0,0,0,3.2
208,Belgium,Mobile,Marketplace,Klarna,Beauty,227,0,134.93,104.25,1,0.26,37.8,3,0,1,0,4.4
209,Germany,Mobile,Paid Ads,Credit Card,Home & Kitchen,179,0,65.72,58.46,2,0.22,581.9,5,0,0,0,4.6
210,Belgium,Mobile,Social Media,PayPal,Fashion,210,3,52.89,21.53,1,0.44,328.3,3,0,0,0,4.5
212,Netherlands,Mobile,Email,Klarna,Fashion,44,0,51.4,24.77,1,0.48,603.7,5,0,0,0,5.0
213,Netherlands,Mobile,Social Media,Bank Transfer,Pet Supplies,190,0,99.79,110.14,1,0.2,371.4,4,0,0,0,4.4
214,Germany,Mobile,Paid Ads,Debit Card,Electronics,114,0,27.51,91.11,1,0.05,449.2,3,0,0,0,4.2
215,Netherlands,Mobile,Marketplace,Credit Card,Fashion,622,5,16.27,6.58,1,0.28,487.2,3,0,0,0,4.4
216,Germany,Desktop,Paid Ads,Credit Card,Sports,787,3,38.98,47.5,6,0.14,390.3,4,0,0,0,4.2
218,Belgium,Tablet,Paid Ads,Credit Card,Garden,209,0,23.89,12.88,1,0.09,606.3,4,0,0,0,3.9
219,France,Mobile,Marketplace,PayPal,Toys,534,1,26.03,19.66,1,0.02,89.2,3,0,0,0,4.6
220,Spain,Mobile,Paid Ads,Bank Transfer,Toys,224,0,30.56,17.35,1,0.12,301.1,5,0,0,0,4.8
221,Germany,Desktop,Direct,Bank Transfer,Pet Supplies,235,2,64.78,25.15,4,0.13,1120.2,6,1,0,0,4.1
222,Turkey,Mobile,Organic Search,Credit Card,Fashion,373,1,76.62,32.96,1,0.04,252.5,3,0,0,0,3.8
223,Netherlands,Mobile,Organic Search,Debit Card,Garden,146,1,48.09,44.77,2,0.09,286.5,4,0,0,0,4.5
224,Italy,Tablet,Paid Ads,Debit Card,Electronics,497,1,28.07,49.41,1,0.38,419.9,4,0,0,0,4.1
225,Netherlands,Desktop,Paid Ads,Debit Card,Fashion,57,2,37.62,40.66,1,0.05,827.5,5,0,0,0,4.7
226,Belgium,Desktop,Paid Ads,Debit Card,Home & Kitchen,896,4,51.58,60.69,3,0.34,653.6,4,0,0,0,4.4
